index_name,k,evidence_found,evidence_recall_percent,mean_latency_ms,median_latency_ms,p95_latency_ms
fixed_1000,1,0.425,42.5,15.405837499999999,14.84,19.402269999999998
fixed_1000,3,0.575,57.49999999999999,15.447610000000001,14.674150000000001,19.419194999999995
fixed_1000,5,0.6625,66.25,15.25325875,14.423100000000002,18.204149999999988
fixed_250,1,0.3875,38.75,23.938681250000002,16.579099999999997,26.96822
fixed_250,3,0.575,57.49999999999999,15.797142500000001,15.07185,21.340349999999997
fixed_250,5,0.6125,61.25000000000001,15.406367499999998,14.9226,20.850845
fixed_500,1,0.3875,38.75,15.086088749999998,14.5062,18.414544999999997
fixed_500,3,0.5,50.0,15.231051249999998,14.51235,19.414125
fixed_500,5,0.5875,58.75,14.99104625,14.256,19.743904999999998
fixed_500_overlap_0,1,0.3875,38.75,15.132945000000001,14.6273,19.54935
fixed_500_overlap_0,3,0.5,50.0,15.1218525,14.35755,19.037519999999997
fixed_500_overlap_0,5,0.6375,63.74999999999999,15.0824475,14.9052,18.443909999999995
fixed_500_overlap_100,1,0.375,37.5,15.250638749999998,14.5922,19.313865
fixed_500_overlap_100,3,0.5,50.0,15.093497500000002,14.65525,18.450314999999996
fixed_500_overlap_100,5,0.6375,63.74999999999999,15.118406250000001,14.876000000000001,18.04844
fixed_500_overlap_25,1,0.4,40.0,15.813411249999998,14.82095,21.152445
fixed_500_overlap_25,3,0.5,50.0,15.714092500000001,14.72255,22.002204999999996
fixed_500_overlap_25,5,0.625,62.5,15.5899075,14.446100000000001,21.219455
fixed_500_overlap_50,1,0.3875,38.75,15.50108875,14.998750000000001,19.16038
fixed_500_overlap_50,3,0.5,50.0,15.20287875,14.52685,19.199415
fixed_500_overlap_50,5,0.5875,58.75,15.463455,14.70205,20.58809
fixed_750,1,0.375,37.5,15.69552625,15.21755,19.721504999999997
fixed_750,3,0.525,52.5,15.27256875,14.74485,20.16209
fixed_750,5,0.6125,61.25000000000001,15.411541249999999,14.402999999999999,22.30145
heading_500,1,0.4,40.0,15.352758750000001,14.7573,19.800645
heading_500,3,0.525,52.5,15.50861625,14.866900000000001,19.694754999999997
heading_500,5,0.6,60.0,15.629761250000001,14.48335,21.336379999999995
paragraph_500,1,0.4,40.0,15.359897499999999,14.9158,19.852224999999997
paragraph_500,3,0.5,50.0,15.22711625,14.786850000000001,19.073245
paragraph_500,5,0.5875,58.75,15.1544375,14.72635,18.86743
sentence_500,1,0.4,40.0,15.455598749999998,14.933399999999999,18.816314999999996
sentence_500,3,0.6,60.0,15.31563375,14.31555,19.107400000000002
sentence_500,5,0.675,67.5,15.42687875,14.47175,19.917354999999997
